"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Total complaints - Poor packaging","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Total complaints - Poor quality","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Total complaints - Wrong order","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Total complaints - Missing items","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Self logs other ors","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Lost sales (Rs)","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Online %","100"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","Offline time (in hours)","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","KPT (in minutes)","12.8733"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer experience","FOR accuracy (%)","66.7"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Impressions","792"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Impressions to menu (%)","6.6"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Menu opens","52"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Menu to cart (%)","7.7"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Cart builds","4"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Cart to orders (%)","75"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer funnel","Placed Orders","3"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","New user orders","3"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Repeat user orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Lapsed user orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Breakfast orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Lunch orders","3"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Snacks orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Dinner orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Customer segmentation","Late night orders","0"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Sales from ads (Rs)","1636"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads CTR (%)","5.7"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads impressions","720"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads menu opens","41"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads orders","3"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads spend (Rs)","493.3390350341797"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Ads","Ads ROI","4.110763300656911"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Offers","Orders with offers","1636"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Offers","Gross sales from offers (Rs)","3"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Offers","Discount given (Rs)","392"
"20709465","GGB - Green Grain Bowl","Porvorim","Goa","Offers","Effective discount (%)","23.96088019559902"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Sales","Delivered orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Sales","Sales (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Sales","Market share (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Average rating","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Rated orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Bad orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Rejected orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","KPT+10 delayed orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Poor rated orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Total complaints","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Non-refunded complaints","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Total complaints - Poor packaging","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Total complaints - Poor quality","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Total complaints - Wrong order","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Total complaints - Missing items","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Self logs other ors","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Lost sales (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Online %","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","Offline time (in hours)","11"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","KPT (in minutes)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer experience","FOR accuracy (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Impressions","18"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Impressions to menu (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Menu opens","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Menu to cart (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Cart builds","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Cart to orders (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer funnel","Placed Orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","New user orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Repeat user orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Lapsed user orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Breakfast orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Lunch orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Snacks orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Dinner orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Customer segmentation","Late night orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Sales from ads (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads CTR (%)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads impressions","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads menu opens","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads orders","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads spend (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Ads","Ads ROI","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Offers","Orders with offers","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Offers","Gross sales from offers (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Offers","Discount given (Rs)","0"
"22213860","Ustaad Beliram Mutton Wale","Model Town 1","Delhi NCR","Offers","Effective discount (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Sales","Delivered orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Sales","Sales (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Sales","Market share (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Average rating","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Rated orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Bad orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Rejected orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","KPT+10 delayed orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Poor rated orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Total complaints","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Non-refunded complaints","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Total complaints - Poor packaging","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Total complaints - Poor quality","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Total complaints - Wrong order","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Total complaints - Missing items","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Self logs other ors","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Lost sales (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Online %","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","Offline time (in hours)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","KPT (in minutes)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer experience","FOR accuracy (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Impressions","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Impressions to menu (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Menu opens","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Menu to cart (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Cart builds","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Cart to orders (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer funnel","Placed Orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","New user orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Repeat user orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Lapsed user orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Breakfast orders","0"
